timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/04/19 07:37:14.360, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 81052 MiB, 0 MiB
timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/04/19 07:37:15.378, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 81052 MiB, 0 MiB
timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/04/19 07:37:16.403, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 81052 MiB, 0 MiB
timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/04/19 07:37:17.424, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 81052 MiB, 0 MiB
timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/04/19 07:37:18.444, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 81052 MiB, 0 MiB
timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/04/19 07:37:19.462, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 81052 MiB, 0 MiB
timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/04/19 07:37:20.479, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 81052 MiB, 0 MiB
timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/04/19 07:37:21.686, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 81052 MiB, 0 MiB
timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/04/19 07:37:22.708, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 81052 MiB, 0 MiB
timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/04/19 07:37:23.732, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 81052 MiB, 0 MiB
timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/04/19 07:37:24.753, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 81052 MiB, 0 MiB
timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
